person_id,full_name,gender,photo_path,tg_nick,person_position,github_nick,email
53,Kellee Lillie,male,./male/image22.jpeg,@Keie,Junior Researcher,@kellee_lillie,kellee_lillie@nvidia.com
54,Jennifer Oldridge,female,./female/image5.jpeg,@Jege,Junior Researcher,@jennifer_oldridge,jennifer_oldridge@nvidia.com
55,Nicholas Jones,male,./male/image21.jpeg,@Nies,Middle Researcher,@nicholas_jones,nicholas_jones@nvidia.com
56,Erin Ambriz,female,./female/image50.jpeg,@Eriz,Middle Developper,@erin_ambriz,erin_ambriz@nvidia.com
57,Billie Adams,female,./female/image31.jpeg,@Bims,Junior Researcher,@billie_adams,billie_adams@nvidia.com
58,Raul Galloway,male,./male/image31.jpeg,@Raay,Middle Researcher,@raul_galloway,raul_galloway@nvidia.com
59,Justin Jackson,male,./male/image2.jpeg,@Juon,Senior Developper,@justin_jackson,justin_jackson@nvidia.com
60,Herman Foley,male,./male/image18.jpeg,@Heey,Middle Developper,@herman_foley,herman_foley@nvidia.com
61,Jennie Jutz,female,./female/image3.jpeg,@Jetz,Middle Developper,@jennie_jutz,jennie_jutz@nvidia.com
62,Robert Wagner,male,./male/image52.jpeg,@Roer,Middle Researcher,@robert_wagner,robert_wagner@nvidia.com
63,Stephen Farnum,male,./male/image11.jpeg,@Stum,Middle Developper,@stephen_farnum,stephen_farnum@nvidia.com
64,Charlene Faulk,female,./female/image11.jpeg,@Chlk,Junior Developper,@charlene_faulk,charlene_faulk@nvidia.com
65,Naomi Wilhelm,female,./female/image33.jpeg,@Nalm,Junior Developper,@naomi_wilhelm,naomi_wilhelm@nvidia.com
66,Bruce Davis,male,./male/image36.jpeg,@Bris,Junior Researcher,@bruce_davis,bruce_davis@nvidia.com
67,Bryce Hall,male,./male/image37.jpeg,@Brll,Junior Developper,@bryce_hall,bryce_hall@nvidia.com
68,Barbara Zheng,female,./female/image32.jpeg,@Bang,Senior Researcher,@barbara_zheng,barbara_zheng@nvidia.com
69,Brent Lisowski,male,./male/image40.jpeg,@Brki,Senior Developper,@brent_lisowski,brent_lisowski@nvidia.com
70,Virginia Loza,female,./female/image49.jpeg,@Viza,Senior Researcher,@virginia_loza,virginia_loza@nvidia.com
71,Jesse Wilkerson,male,./male/image43.jpeg,@Jeon,Junior Researcher,@jesse_wilkerson,jesse_wilkerson@nvidia.com
72,Anne Greenberg,female,./female/image46.jpeg,@Anrg,Senior Researcher,@anne_greenberg,anne_greenberg@nvidia.com
73,Loretta Roberts,female,./female/image45.jpeg,@Lots,Middle Researcher,@loretta_roberts,loretta_roberts@nvidia.com
74,Gayle Jack,female,./female/image4.jpeg,@Gack,Senior Developper,@gayle_jack,gayle_jack@nvidia.com
75,Sandra Mondragon,female,./female/image39.jpeg,@Saon,Junior Researcher,@sandra_mondragon,sandra_mondragon@nvidia.com
76,Mathew Sims,male,./male/image5.jpeg,@Mams,Junior Developper,@mathew_sims,mathew_sims@nvidia.com
77,Brent Straughn,male,./male/image42.jpeg,@Brhn,Senior Researcher,@brent_straughn,brent_straughn@nvidia.com
78,Charles Campbell,male,./male/image49.jpeg,@Chll,Middle Developper,@charles_campbell,charles_campbell@nvidia.com
79,Latoya Anderson,male,./male/image48.jpeg,@Laon,Middle Researcher,@latoya_anderson,latoya_anderson@nvidia.com
80,Margret Shields,female,./female/image37.jpeg,@Mads,Junior Developper,@margret_shields,margret_shields@nvidia.com
81,Regina Vasquez,female,./female/image36.jpeg,@Reez,Senior Developper,@regina_vasquez,regina_vasquez@nvidia.com
82,Ernest Fox,male,./male/image50.jpeg,@Erox,Junior Developper,@ernest_fox,ernest_fox@nvidia.com
83,Jeffrey Draper,male,./male/image4.jpeg,@Jeer,Senior Developper,@jeffrey_draper,jeffrey_draper@nvidia.com
84,Michael Taylor,male,./male/image33.jpeg,@Mior,Middle Researcher,@michael_taylor,michael_taylor@nvidia.com
85,Eileen Brehm,female,./female/image21.jpeg,@Eihm,Middle Researcher,@eileen_brehm,eileen_brehm@nvidia.com
86,Richard Causer,male,./male/image39.jpeg,@Rier,Senior Developper,@richard_causer,richard_causer@nvidia.com
87,Christopher Rathbone,male,./male/image41.jpeg,@Chne,Junior Researcher,@christopher_rathbone,christopher_rathbone@nvidia.com
88,James Vanderpool,male,./male/image46.jpeg,@Jaol,Senior Researcher,@james_vanderpool,james_vanderpool@nvidia.com
89,Collen Williams,male,./male/image8.jpeg,@Coms,Junior Researcher,@collen_williams,collen_williams@nvidia.com
90,Cristopher Crum,male,./male/image47.jpeg,@Crum,Senior Researcher,@cristopher_crum,cristopher_crum@nvidia.com
91,Laura Halliburton,female,./female/image23.jpeg,@Laon,Senior Researcher,@laura_halliburton,laura_halliburton@nvidia.com
92,Mary Viall,female,./female/image22.jpeg,@Mall,Middle Developper,@mary_viall,mary_viall@nvidia.com
93,Rebecca Franklin,female,./female/image29.jpeg,@Rein,Junior Researcher,@rebecca_franklin,rebecca_franklin@nvidia.com
94,Arlene Roehm,female,./female/image18.jpeg,@Arhm,Middle Developper,@arlene_roehm,arlene_roehm@nvidia.com
95,Jan Knock,male,./male/image44.jpeg,@Jack,Junior Researcher,@jan_knock,jan_knock@nvidia.com
96,Sandra Bellomo,female,./female/image13.jpeg,@Samo,Senior Researcher,@sandra_bellomo,sandra_bellomo@nvidia.com
97,David Gieck,male,./male/image35.jpeg,@Dack,Senior Developper,@david_gieck,david_gieck@nvidia.com
98,Bob Toman,male,./male/image25.jpeg,@Boan,Junior Developper,@bob_toman,bob_toman@nvidia.com
99,John Loftis,male,./male/image9.jpeg,@Jois,Middle Researcher,@john_loftis,john_loftis@nvidia.com
